ID,Name,Address,City,State,County,Type,Ownership,Emergency Services,Can.use.EHRs,Overall rating,Mortality national comparison,Readmission,Patient.experience,Effectiveness.of.care,Timeliness.of.care
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,LAUDERDALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,CRENSHAW,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,NA,Same as the national average,Above the national average
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,DE KALB,Acute Care Hospitals,Proprietary,Yes,Y,3,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,NA,NA,NA,NA,Same as the national average,Same as the national average
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,DALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,CHEROKEE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,LEE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,RANDOLPH,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,NA,Same as the national average,Same as the national average
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,JEFFERSON,Acute Care Hospitals,Government - State,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,ELMORE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,COVINGTON,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,CALHOUN,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,MADISON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,ETOWAH,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,MARION,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
